Date, Open, High, Low, Close
02/17/15, 18019.80, 18052.01, 17951.41, 18047.58
02/13/15, 17968.65, 18037.41, 17961.76, 18019.35
02/12/15, 17862.14, 17975.65, 17862.14, 17972.38
02/11/15, 17867.86, 17897.21, 17759.65, 17862.14
02/10/15, 17736.15, 17890.34, 17729.24, 17868.76
02/09/15, 17821.49, 17821.49, 17685.32, 17729.21
02/06/15, 17881.54, 17951.09, 17764.40, 17824.29
02/05/15, 17677.26, 17889.58, 17677.26, 17884.88
02/04/15, 17664.99, 17782.22, 17603.21, 17673.02
02/03/15, 17369.97, 17670.76, 17369.97, 17666.40
02/02/15, 17169.99, 17367.68, 17037.76, 17361.04
01/30/15, 17416.85, 17419.90, 17156.82, 17164.95
01/29/15, 17195.29, 17433.13, 17136.30, 17416.85
01/28/15, 17402.91, 17484.41, 17189.00, 17191.37
01/27/15, 17638.53, 17638.53, 17288.31, 17387.21
01/26/15, 17668.11, 17696.36, 17567.60, 17678.70
01/23/15, 17812.50, 17812.50, 17667.53, 17672.60
01/22/15, 17557.29, 17840.89, 17482.54, 17813.98
01/21/15, 17509.96, 17599.58, 17396.04, 17554.28
01/20/15, 17516.96, 17588.70, 17346.73, 17515.23
01/16/15, 17320.00, 17528.37, 17243.55, 17511.57
01/15/15, 17436.30, 17517.41, 17298.04, 17320.71
01/14/15, 17609.06, 17609.06, 17264.90, 17427.09
01/13/15, 17645.02, 17923.01, 17498.23, 17613.68
01/12/15, 17742.05, 17793.88, 17571.58, 17640.84
01/09/15, 17911.02, 17915.32, 17686.09, 17737.37
01/08/15, 17591.97, 17916.04, 17591.97, 17907.87
01/07/15, 17374.78, 17597.08, 17374.78, 17584.52
01/06/15, 17504.18, 17581.05, 17262.37, 17371.64
01/05/15, 17821.30, 17821.30, 17475.93, 17501.65
01/02/15, 17823.07, 17951.78, 17731.30, 17832.99
12/31/14, 17987.66, 18043.22, 17820.88, 17823.07
12/30/14, 18035.02, 18035.02, 17959.70, 17983.07
12/29/14, 18046.58, 18073.04, 18021.57, 18038.23
12/26/14, 18038.30, 18103.45, 18038.30, 18053.71
12/24/14, 18035.73, 18086.24, 18027.78, 18030.21
12/23/14, 17971.51, 18069.22, 17970.16, 18024.17
12/22/14, 17812.25, 17962.78, 17812.25, 17959.44
12/19/14, 17778.02, 17874.03, 17746.55, 17804.80
12/18/14, 17367.85, 17778.40, 17367.85, 17778.15
12/17/14, 17069.16, 17389.30, 17069.16, 17356.87
12/16/14, 17173.07, 17427.44, 17067.59, 17068.87
12/15/14, 17285.74, 17403.54, 17115.28, 17180.84
12/12/14, 17590.05, 17590.05, 17280.83, 17280.83
12/11/14, 17534.30, 17758.51, 17534.30, 17596.34
12/10/14, 17797.99, 17797.99, 17508.10, 17533.15
12/09/14, 17847.37, 17847.37, 17629.57, 17801.20
12/08/14, 17954.94, 17960.56, 17804.28, 17852.48
12/05/14, 17903.05, 17991.19, 17903.05, 17958.79
12/04/14, 17910.02, 17937.96, 17814.81, 17900.10
12/03/14, 17880.90, 17924.15, 17855.59, 17912.62
12/02/14, 17778.85, 17897.05, 17778.85, 17879.55
12/01/14, 17827.27, 17827.27, 17726.55, 17776.80
11/28/14, 17830.55, 17893.42, 17807.78, 17828.24
11/26/14, 17812.25, 17833.76, 17791.16, 17827.75
11/25/14, 17819.05, 17854.73, 17790.89, 17814.94
11/24/14, 17812.63, 17855.27, 17793.19, 17817.90
11/21/14, 17721.02, 17894.83, 17721.02, 17810.06
11/20/14, 17677.32, 17720.44, 17603.89, 17719.00
11/19/14, 17685.51, 17712.26, 17624.50, 17685.73
11/18/14, 17643.09, 17735.71, 17642.03, 17687.82
11/17/14, 17631.85, 17675.07, 17606.81, 17647.75
11/14/14, 17653.11, 17664.15, 17613.20, 17634.74
11/13/14, 17618.69, 17705.48, 17583.88, 17652.79
11/12/14, 17604.75, 17626.71, 17536.17, 17612.20
11/11/14, 17615.64, 17638.21, 17584.94, 17614.90
11/10/14, 17568.98, 17621.87, 17547.51, 17613.74
11/07/14, 17558.58, 17575.33, 17493.37, 17573.93
11/06/14, 17491.66, 17560.31, 17440.35, 17554.47
11/05/14, 17385.76, 17486.59, 17385.76, 17484.53
11/04/14, 17368.81, 17397.23, 17278.36, 17383.84
11/03/14, 17390.90, 17410.65, 17339.85, 17366.24
10/31/14, 17208.78, 17395.54, 17208.78, 17390.52
10/30/14, 16968.14, 17223.96, 16920.76, 17195.42
10/29/14, 17005.07, 17065.50, 16895.38, 16974.31
10/28/14, 16825.19, 17006.45, 16825.19, 17005.75
10/27/14, 16796.10, 16836.98, 16729.83, 16817.94
10/24/14, 16677.04, 16811.71, 16649.72, 16805.41
10/23/14, 16468.07, 16767.52, 16468.07, 16677.90
10/22/14, 16615.26, 16653.89, 16459.85, 16461.32
10/21/14, 16406.03, 16620.78, 16405.77, 16614.81
10/20/14, 16373.15, 16401.63, 16260.54, 16399.67
10/17/14, 16118.39, 16427.38, 16118.39, 16380.41
10/16/14, 16137.14, 16211.12, 15935.22, 16117.24
10/15/14, 16313.30, 16313.30, 15855.12, 16141.74
10/14/14, 16321.90, 16463.67, 16273.64, 16315.19
10/13/14, 16535.43, 16602.41, 16310.47, 16321.07
10/10/14, 16654.88, 16757.60, 16543.91, 16544.10
10/09/14, 16989.37, 16989.37, 16649.04, 16659.25
10/08/14, 16718.65, 17006.91, 16663.26, 16994.22
10/07/14, 16988.25, 16988.25, 16715.79, 16719.39
10/06/14, 17010.34, 17099.39, 16930.38, 16991.91
10/03/14, 16802.20, 17027.84, 16802.20, 17009.69
10/02/14, 16808.27, 16857.25, 16674.04, 16801.05
10/01/14, 17040.46, 17041.16, 16776.13, 16804.71
09/30/14, 17070.45, 17145.10, 17017.11, 17042.90
09/29/14, 17107.69, 17107.69, 16934.43, 17071.22
09/26/14, 16948.62, 17148.15, 16948.11, 17113.15
09/25/14, 17204.86, 17204.86, 16945.80, 16945.80
09/24/14, 17056.64, 17226.60, 17033.93, 17210.06
09/23/14, 17165.91, 17171.88, 17055.87, 17055.87
09/22/14, 17271.71, 17277.88, 17159.36, 17172.68
09/19/14, 17267.21, 17350.64, 17257.46, 17279.74
09/18/14, 17163.73, 17275.37, 17163.73, 17265.99
09/17/14, 17131.01, 17221.11, 17089.01, 17156.85
09/16/14, 17027.16, 17167.05, 16985.55, 17131.97
09/15/14, 16988.76, 17051.85, 16951.38, 17031.14
09/12/14, 17044.05, 17044.05, 16937.67, 16987.51
09/11/14, 17057.41, 17057.41, 16983.88, 17049.00
09/10/14, 17016.05, 17080.27, 16974.57, 17068.71
09/09/14, 17110.39, 17111.55, 16993.29, 17013.87
09/08/14, 17131.71, 17137.88, 17079.17, 17111.42
09/05/14, 17065.89, 17137.36, 17009.62, 17137.36
09/04/14, 17083.61, 17161.55, 17030.12, 17069.58
09/03/14, 17067.24, 17151.89, 17060.21, 17078.28
09/02/14, 17097.42, 17113.51, 17009.07, 17067.56
08/29/14, 17083.42, 17110.42, 17035.38, 17098.45
08/28/14, 17119.06, 17119.06, 17018.33, 17079.57
08/27/14, 17111.03, 17134.60, 17090.61, 17122.01
08/26/14, 17079.57, 17153.80, 17079.57, 17106.70
08/25/14, 17011.81, 17124.74, 17011.81, 17076.87
08/22/14, 17038.27, 17064.28, 16984.52, 17001.22
08/21/14, 16983.88, 17074.59, 16983.88, 17039.49
08/20/14, 16910.03, 16994.89, 16896.55, 16979.13
08/19/14, 16839.06, 16929.13, 16839.06, 16919.59
08/18/14, 16664.45, 16840.28, 16664.45, 16838.74
08/15/14, 16717.01, 16775.27, 16575.42, 16662.91
08/14/14, 16657.32, 16714.22, 16651.67, 16713.58
08/13/14, 16567.54, 16670.29, 16567.54, 16651.80
08/12/14, 16565.55, 16589.31, 16518.06, 16560.54
08/11/14, 16557.27, 16627.99, 16557.27, 16569.98
08/08/14, 16369.68, 16556.59, 16364.22, 16553.93
08/07/14, 16448.29, 16504.35, 16333.78, 16368.27
08/06/14, 16425.10, 16490.70, 16372.32, 16443.34
08/05/14, 16559.97, 16559.97, 16369.55, 16429.47
08/04/14, 16493.72, 16596.22, 16447.20, 16569.28
08/01/14, 16561.70, 16584.75, 16437.07, 16493.37
07/31/14, 16869.63, 16869.63, 16563.30, 16563.30
07/30/14, 16920.11, 16983.94, 16817.16, 16880.36
07/29/14, 16984.33, 17056.46, 16912.11, 16912.11
07/28/14, 16956.91, 17001.38, 16877.72, 16982.59
07/25/14, 17079.50, 17082.33, 16915.65, 16960.57
07/24/14, 17092.02, 17119.83, 17061.07, 17083.80
07/23/14, 17117.01, 17121.05, 17058.05, 17086.63
07/22/14, 17054.97, 17133.43, 17040.13, 17113.54
07/21/14, 17095.11, 17095.11, 16974.34, 17051.73
07/18/14, 16978.16, 17113.51, 16977.52, 17100.18
07/17/14, 17133.45, 17151.56, 16966.19, 16976.81
07/16/14, 17061.91, 17139.35, 17061.91, 17138.20
07/15/14, 17055.03, 17120.34, 17006.39, 17060.68
07/14/14, 16950.93, 17088.43, 16950.93, 17055.42
07/11/14, 16918.31, 16949.46, 16860.30, 16943.81
07/10/14, 16980.35, 16980.35, 16805.38, 16915.07
07/09/14, 16916.83, 16998.95, 16913.81, 16985.61
07/08/14, 17022.09, 17022.09, 16874.79, 16906.62
07/07/14, 17063.83, 17063.83, 16992.45, 17024.21
07/03/14, 16979.00, 17074.65, 16979.00, 17068.26
07/02/14, 16949.71, 16986.63, 16949.71, 16976.24
07/01/14, 16828.53, 16998.70, 16828.53, 16956.07
06/30/14, 16852.49, 16871.27, 16801.94, 16826.60
06/27/14, 16846.90, 16862.73, 16773.84, 16851.84
06/26/14, 16866.81, 16872.52, 16746.09, 16846.13
06/25/14, 16817.68, 16883.54, 16799.41, 16867.51
06/24/14, 16934.62, 16969.70, 16805.23, 16818.13
06/23/14, 16946.50, 16954.27, 16896.09, 16937.26
06/20/14, 16920.62, 16978.02, 16920.62, 16947.08
06/19/14, 16909.90, 16923.43, 16858.88, 16921.46
06/18/14, 16806.12, 16911.41, 16755.29, 16906.62
06/17/14, 16779.21, 16823.55, 16732.91, 16808.49
06/16/14, 16765.56, 16802.14, 16722.86, 16781.01
06/13/14, 16734.64, 16787.89, 16718.60, 16775.74
06/12/14, 16840.48, 16841.57, 16703.73, 16734.19
06/11/14, 16943.16, 16943.16, 16821.85, 16843.88
06/10/14, 16940.40, 16946.34, 16897.44, 16945.92
06/09/14, 16926.08, 16970.17, 16912.92, 16943.10
06/06/14, 16839.64, 16924.28, 16839.64, 16924.28
06/05/14, 16739.14, 16845.81, 16709.95, 16836.11
06/04/14, 16720.00, 16742.91, 16673.65, 16737.53
06/03/14, 16736.70, 16736.70, 16690.01, 16722.34
06/02/14, 16716.85, 16756.64, 16682.07, 16743.63
05/30/14, 16697.33, 16721.22, 16648.85, 16717.17
05/29/14, 16637.74, 16698.74, 16620.43, 16698.74
05/28/14, 16674.98, 16674.98, 16620.22, 16633.18
05/27/14, 16607.42, 16688.69, 16607.42, 16675.50
05/23/14, 16544.49, 16613.07, 16544.49, 16606.27
05/22/14, 16532.74, 16565.39, 16489.61, 16543.08
05/21/14, 16376.17, 16544.60, 16376.17, 16533.06
05/20/14, 16511.22, 16511.22, 16341.30, 16374.31
05/19/14, 16490.35, 16526.26, 16442.12, 16511.86
05/16/14, 16447.32, 16498.99, 16414.32, 16491.31
05/15/14, 16613.52, 16622.90, 16397.46, 16446.81
05/14/14, 16716.08, 16717.56, 16595.00, 16613.97
05/13/14, 16695.92, 16735.51, 16695.92, 16715.44
05/12/14, 16584.82, 16704.84, 16584.82, 16695.47
05/09/14, 16551.23, 16588.77, 16498.71, 16583.34
05/08/14, 16518.16, 16622.95, 16502.01, 16550.97
05/07/14, 16401.66, 16522.94, 16357.35, 16518.54
05/06/14, 16529.85, 16529.85, 16399.99, 16401.02
05/05/14, 16509.75, 16547.92, 16377.09, 16530.55
05/02/14, 16562.34, 16620.06, 16488.31, 16512.89
05/01/14, 16580.26, 16604.79, 16525.25, 16558.87
04/30/14, 16534.86, 16592.28, 16510.87, 16580.84
04/29/14, 16451.18, 16559.39, 16451.18, 16535.37
04/28/14, 16363.20, 16500.37, 16312.66, 16448.74
04/25/14, 16503.26, 16503.26, 16333.78, 16361.46
04/24/14, 16503.39, 16541.26, 16452.30, 16501.65
04/23/14, 16513.73, 16525.99, 16477.28, 16501.65
04/22/14, 16449.38, 16565.71, 16449.38, 16514.37
04/21/14, 16408.92, 16459.78, 16402.08, 16449.25
